pkg_name,title,developer,developer_id,category,content_rating,installs,score,ratings,reviews,released,updated,version,description,features,contains_ads,privacy_policy,size_mb,min_android_version
com.fakir.robot,Fakir Robot,Fakir,Fakir,,Everyone,"100,000+",3.5714285,424.0,3.0,"Jul 28, 2021",1763516670.0,2.3.0,Connect your Robert R1 vacuum from anywhere using the Fakir robot App.,,False,http://fakir.com.tr/fakir-robot-gizlilik-bildirimi,,
com.kitfort.robot,RoboKit,Kitfort,Kitfort,,Everyone,"5,000+",,,,"Dec 26, 2019",,Varies with device,"We have released the RoboKit mobile application with which you can remotely control Kitfort robots.
On the first launch of the application, select a robot and connect it.
After connecting, you can control the robot while away from home. For example, on leaving work, go to the application and click on the Start button. You will come home to a nice clean floor.
To avoid having to press a button every time you can set a cleaning schedule for the whole week.
From the RoboKit application, you can not only start cleaning, but also change cleaning modes and instruct the robot to charge itself.
While moving the robot draws a cleaning map and displays it in the mobile application.
The RoboKit mobile app team is constantly working on improving features and functionality of the product.
In the near future we will launch more robots that can be controlled from the application and provide even more opportunities for users of our smart devices.
If you have any questions or suggestions, please write to us at info@kitfort.ru
Official website: https://kirfort.ru/",,False,https://kitfort.ru/privacy-policy/,,
com.ecovacs.biz.tidalwave,ECOVACS PRO,ECOVACS ROBOTICS,ECOVACS+ROBOTICS,,Everyone,"10,000+",0.0,0.0,0.0,"Mar 2, 2025",,Varies with device,"ECOVACS PRO App is a mobile application for connecting to ECOVACS commercial robots, supporting commercial cleaning robots such as DEEBOT PRO M1, K1 VAC, and other robot products. Through the app, you can view the robot status in real time, edit maps, schedule tasks, view robot cleaning reports, and more, to start a new commercial cleaning experience.


By connecting to ECOVACS PRO App, you can easily unlock more features:

【Convenient Deployment】

1. Multiple mapping methods.

2. Intelligent optimization of maps.

3. Path-based map editing.

4. Efficient storage across multiple platforms.

【Intelligent Remote Control】

1. Comprehensive monitoring of robot status.

2. Flexible task combinations.

3. Multi-dimensional visualization of data.

4. Convenient remote control.

5. Unified management for multiple machines and roles.

【Intelligent Scheduling】

1. Interconnection of multiple machines.

2. Data sharing.

3. Centralized intelligent scheduling resources.

4. Autonomous coordination.",,False,https://hive.ecovacs.cn/systemLayout/previewH5?key=appPriAgr&platCode=bizapp,,
com.coredy.robot,Coredy Robot,Coredy inc,Coredy+inc,,Everyone,"50,000+",2.38,280.0,124.0,"Apr 15, 2019",1716436383.0,1.2.2,"You can also share Coredy smart home devices with family members, so everyone can control the devices, schedule time and set their own personal preferences for each device. You and your family will enjoy the convenience together from Coredy product.",,False,https://images.tuyacn.com/smart/app/package/14004/origin/privacyUrl_1554861118930.html,,
com.grundig.robot,Grundig Robot,Arcelik A.Ş.,Arcelik+A.%C5%9E.,,Everyone,"10,000+",0.0,0.0,0.0,"Jan 7, 2021",,Varies with device,"The Grundig Robot Vacuum APP is a mobile applicationthat connects to Grundig robot products. 
Users can replace the traditional remote control with APP, remote control the robot to clean,dock to charge,etc.
Equipment control, support direction control, cleaning preferences settings,etc.
Time Schedule, clean at any time within a week.
Equipment positioning, can view the data of cleaning area and cleaning time.
Support personalized settings of device name, time calibration, deleting equipment,etc.",,False,http://note.youdao.com/s/O1qbXrFv,,
com.robored.robot,robored,DTS ELEKTRONIK SAN. TIC. LTD. STI.,DTS+ELEKTRONIK+SAN.+TIC.+LTD.+STI.,,Everyone,"1,000+",,,,"Mar 26, 2021",,Varies with device,"With this App, the user can remotely control the robot. It makes programming the cleaning schedules very easy. Also, it shows the map where the robot has cleaned to show where the robot has been. There are many more features, that can be explored after installing the app.",,False,https://redline.com.tr/privacy_policy_robored.html,,
com.MisterRobot.Robot,HYBRID SERIES,M.M. Global Trade Company Limited,M.M.+Global+Trade+Company+Limited,,Everyone,"5,000+",,,,"Mar 31, 2021",,Varies with device,"This is a mobile application that use for Mister Robot - HYBRID SERIES product only. Users can use this app instead of traditional remote control to control robot vacuum via wifi connection such as
- Start/Stop Cleaning
- Robot Monitoring
- Recharging
- Water Drop Level Control
- Direction Control
- Time Scheduling
If you have any question please contact us at misterrobotcleaner@gmail.com",,False,http://note.youdao.com/noteshare?id=97f55b5699271999d072c45139a6ade3,,
com.Xbot.robot,Xbot Home,Xbot,Xbot,,Everyone,"1,000+",,,,"Nov 16, 2020",,Varies with device,"The mobile phone app connects Xbot products to the phone with Wi-Fi function.

Using the App, you replace the traditional remote control with an intelligent robot control.

The Application provides registration, initial setup, software update, cleaning control, management and receiving information from the robot vacuum cleaner.

You can adapt the robot to your lifestyle:

- make an individual cleaning schedule;

- mark contaminated and restricted areas;

- customize local cleaning and cleaning zones in specific rooms;

- adjust the cleaning modes;

- Get information about the charge level, cleaning report and error messages.",,False,http://www.utenic.com/xbot/xbot.html,,
com.vactidy.robot,Vactidy,"Shenzhen Ultenic Technology Co., Ltd.","Shenzhen+Ultenic+Technology+Co.,+Ltd.",,Everyone,"100,000+",3.5853658,419.0,21.0,"Nov 2, 2022",,Varies with device,"Explore the Vactidy App and Light Up Your Smart Life!
This amazing mobile application connects you with your smart devices, giving you effortless control over everything. Like magic, you can monitor and operate your devices in real time. No matter where you are, enjoy convenient control anytime, anywhere, and simplify interactions between smart devices.

Integrated Control for Greater Convenience!
We aim to provide you with a integrated and flexible lifestyle. With an intuitive and easy-to-use interface, you can effortlessly add appliances and enable seamless connections between smart devices, delivering unmatched convenience.

Share Joy with One Tap—Endless Fun!
Our goal is to bring more joy to your life. With a single tap, share devices with family and friends, manage them remotely, and fully embrace the fun of technology.

Connect to the Internet and Enjoy Unparalleled Convenience!
Once connected to smart devices, you can easily:
1. Start and pause your robot remotely.
2. View the cleaning map to see the robot's cleaning progress.
3. Set cleaning modes and track cleaning tasks.

Download now to experience the Vactidy cleaning ""beast"" and give your home a sparkling transformation!",,False,https://appeu.vactidy.com/h5/vactidy.html,,
com.nooie.robot,Nooie Robot,Nooie Inc.,5837909849480306740,,Everyone,"1,000+",0.0,0.0,0.0,"Nov 22, 2022",,Varies with device,"Nooie Robot App Introduction:

This is a robot app under the Nooie brand.
 Live with style and ease. Nooie aims to create indispensable products that are stylish, affordable, and easy to use. Nooie Robot app lets you control your robots from anywhere, anytime.
Add and control robots in the app to make the nooie robot part of your home.",,False,https://power123.nooie.com/privacy/nooie-robot-app-privacy-policy-zh.html,,
