pkg_name,title,description
com.guanxu.technology.lh_drone,LH Drone,This APP can control the aircraft by WiFi of the Android smartphone.
com.scytherobotics.takeout,Scythe Robotics,"Stay ahead of your mow with Scythe Robotics- mow, map, and monitor on the go!"
com.drcufo.rxdrone,4DRC GO,It mainly provides the function of connecting Drone
com.iliferobot.clean,ILIFE Clean,refresh your life
com.robzoneapp.android,RobZone Robot,"Robzone, vysaje i vyt?e za vs"
com.dayepower.MOWOXROBOT,Mowox,Application for smart grass cutting machines
com.lwcx.hk55dronego,HK55 DRONE GO,This is a APP for the four axis aircraft control via WiFi protocol.
com.flexitrobo,cvROBO,Flexit app for control and monitoring of robot vacuum cleaner Flexit cvROBO
com.autobotplus.com,Autobot+,"Smart Home , Smart device"
com.guanxu.technology.my_drone,Smart Drone,This APP can control the aircraft by WiFi of the Android smartphone.
com.irobotix.Zyle.v1,Zyle Robotics,Zyle Robotics APP can control your Robot wherever you are and whenever you need
com.contixo.rxdrone,Contixo Drone RX,We can control the quadcopter application
com.shiftrobotics.android,Shift Robotics,AI-enhanced mobility
com.netopsun.midrone420,MIDRONE 420,MIDRONE VISION 420 can control the aircraft by WiFi of the Android smartphone.
com.deepmav.droneautonomy.parrot,Drone Autonomy,Autonomous drone flight for Parrot Anafi drones
com.lcfld.irdronego,Mahestan 62,"The app is dedicated to ""Mahestan 62"" series drone."
com.cenobots.app,CenoBots,The APP of the CenoBots cleaning robot.
com.aifarm.robotberry,Robotberry,An offline robot controller app
com.mzbots.android.powerbot,POWERbot-S,Connect your robot vacuum from anywhere using the POWERbot-S App.
com.lcfld.aerodrone,Aerodrone,"This is a connection and control drone APP, Dedicated to Aerodrone drones."
com.sublue.robot,SUBLUE ROBOT,"Wise Life, Enjoy Life"
com.netopsun.hk88drone,HK88 Drone,Easily control your HK88 drone and experience smart GPS flight.
com.ameta.smart.drone,Ameta Morpho,Ameta Morpho makes it easy for you capture aerial photos quickly.
com.narwal.robot_gloabl,T10 Robot Vacuum & Mop,The T10 Robot Vacuum & Mop app is designed to make T10 robots easier to use.
com.xbot.smart,AI-Bot,AI-Bot app is a platform for you to manage the pool cleaning robot.
com.haiereurope.hg5,HG5,Hoover HG5 Robot Official App
org.milkyapps.djicontroller,Fly Go 4: Drone Controller App,Drone Controller for 40+ DJI? Models. Unlock full potential of your DJI? drone
com.zhongrun.robotdog,Rapidpower,Rapidpower for controlling smart Bluetooth robotic dog toys
com.newal.newalrobot,Newal Robot,lets you control your Newal robots
com.moniqtap.dji.drone.go.fly,Drone Fly Pro: Go fly Drones,"Drone Go Fly 4 controller, smart drone pilot app for your Drone. Go fly as pro"
com.sjajnoaplikerazvoj.Tello_drone_remote_controller,Tello Drone Controller App,Control your Tello drone with Real-time video object detection drone controller
com.robot.meteer,Meteer,This is a control tool for the Meteer robot
com.varo.powerplus2.android,Powerplus Mower POWDPG6010,Easily control your robot mower from a distance with the official Powerplus app.
com.contixo.uav,Contixo F36,Contixo 4K Aerial Drone - Your Perfect Companion for Home and Travel Adventures!
com.lcfld.droneuav,DRONE-UAV,This is a connection and control drone APP.
cn.goatbot.app,Goatbot-GOAT BOT Lawn Mower,Elevate your lawn game with Goatbot.
com.zbeetles.autobot2,AUTOBOT ULTRA,cleaning partner creator of home aesthetics
com.kitfort.robot,RoboKit,Allows you to control Kitfort robots from mobile devices over Wi-Fi
com.misterrobotcleaner.hmc,Mister Robot Touch,you can control Mister Robot by this App.
com.ilife.iliferobot_as,ILIFERobot AS,ILIFERobot AS App
com.yujinrobot.iclebo,iCLEBO O5,Cleaning robot app for remote control
com.robot.bsrobot_new,RVB SmartBot,RVB SmartBot is an application that connects to TARA cleaner robotic products.
com.haier.hirobot,HiRobot,HiRobot App is the mobile application of Haier's overseas robot products.
com.lcfld.dronepro,Flying MAX,This is an APP that connects and controls the drone via WiFi.
com.zbeetles.bobot,BOBOT LIFE,Redefine Household Cleaning
com.irobotix.yosomi,icotech,Vacuum Cleaner
cn.bwt.poolrobot,Mypoolbot,Easily manage your pool cleaning robots with the Mypoolbot app.
com.deepmav.droneautonomy.app,Drone Autonomy,Autonomous drone flight for DJI drones
com.milagrow.robot,Milagrow Aguabot Robot,Milagrow Aguabot Robot is an application that connects robot with internet.
com.garudaaerospace.DRONI,DRONI,DRONI APP
com.inmotion.XrobotSweeper,Xrobot Sweeper,An one-stop management platform for artificial intelligence device.
com.timyerc.iglassbot,iGLASSBOT,Here is a App which can control window clean machine.
djifly.drone.gofly,Go Fly Drone Remote Controller,"Drone remote controller: Drone camera UAV fly app, Fly Go 4 Mavic Mini Air drone"
com.inmotion.sweeprobot.ldrobot_m.robomaxx,Robomaxx,Robomaxx Robots exclusive Cloud Intelligent Remote Management.
com.arzum.robotek,Robotek X2,It's a mobile-side application that connects robot products.
com.rxdrone.gpskai,KAI FLY,Connect and control the aircraft via WIFI.
com.proscenic.smart.robot,Proscenic,Smart home
cz.dronetag.app,Dronetag,Ensuring airspace safety for all pilots
com.udirc.drone,UDIRC drone,"This flight control APP is developed by Udirc Toys Industrial Co.,Ltd."
com.keyitech.loona,Loona,"PetBot - A Pet, A Robot, A Friend"
it.clementoni.robot,Cyber Robot,Discover the principles of Robotics and programming with Cyber Robot!
com.rainbow.drone,Rainbow for DJI Drones,An app to unlock power of your DJI Drones(Mavic Mini2/air2s etc.) with Rainbow
com.autobot.new.fir,AUTOBOT APP,The APP can control your Robot wherever you are and whenever you need
com.irobot.home,iRobot Home (Classic),Control for iRobot products
com.smartwidgetlabs.djidrone,Go Fly Drone Camera Controller,"Smart Drone controller app for drone models, Flycam Go Fly app for drone, fly go"
com.yahboomrobot,Yahboom Robot,A Fantastic App For Robot Control From Yahboom
com.roboterra.app,TerraMow,Take full control of your TerraMow robots with the dedicated app.
com.MisterRobot.Robot,HYBRID SERIES,Mister Robot C HYBRID SERIES Application
com.ldrobot.miravac,My MIRAVAC,To enjoy a new app-controlled cleaning experience.
com.gx_df_drone,DF Drone,This APP can control the aircraft by WiFi of the Android smartphone.
org.powerpong.robot,Power Pong Robot,Create and run table tennis drills with the Power Pong robot!
com.grit.robotsweeper,Robot Sweeper,Smart apps for floor sweepers that customize your needs!
com.xdrone.app,X-DRONE,This app is used for a set of GPS Drone flight control.
com.irobotix.eta,ETA Navaggio,Application for controlling the robotic vacuum cleaner ETA2228 and ETA4228.
com.robot.apitor,Apitor Kit,"Build, control, code"
com.hubsan.drone,X-Hubsan 2,Flight Control SoftwareFPVMapAircraft
com.grundig.robot,Grundig Robot,It's a mobile-side application that connects robot products.
com.ugcs.android.vsm.dji,UgCS for DJI,App to establish a connection between DJI drone and UgCS desktop ground station
com.yunshi.robotlife,Lefant,Lefant App is a mobile application to control Lefant Robotic Vacuum Cleaners.
com.rxmap.rxdrone,RxDrone,"Drone shooting,control"
com.droneamplified.da,Drone Amplified,Amplify the capabilities of your DJI Drone
com.myhome.smart.robot,My smart+,Smart home
org.revolutionrobotics.robotcontroller,Revolution Robotics,"Build, Sync, Transform and Command Your Robotics in a Flash!"
com.appzeeinc.micro_drone_remote_control_app,Drone Controller App Micro XDU,Turn your phone into a Bluetooth Drone controller for XDU Micro Drones Fly Easy!
appinventor.ai_makerslabfablab.Arm_Robot_Control,Arm Robot Control Makerslab,Control your 6-motor Robotic Arms with Arduino and Bluetooth
com.apponfire.android.drone5,Fly Go 4 Drone Camera Control,"Safe & smart flight with Go Fly drone controller for 40+ drone camera, zone map"
com.ultenic.robot,Ultenic,Smart home
com.vison.macrochip.gps.uav,RC FUN,An app we can control a quadcopter to fly with a WiFi camera module
branded.m96aed29176e84e1e8460cb6ce37417a2.droneresponders,DRONERESPONDERS,The leading non-profit program advancing public safety UAS
com.irobotix.iot.ETA.DM3,ETA AQUILO,The official application for controlling the ETA7243 AQUILO robotic vacuum cleaner
com.irobotix.ilife,ILIFE VAC,You can use ILIFE VAC to control the sweeping robot anytime and anywhere.
com.ursrobot.nexmowapp,NEXMOW,NEXMOW is ready to be your partner!
com.roborock.smart,Roborock,The App can control Roborock vacuum cleaners from anywhere with rich features.
com.husqvarna.automowerconnect,Automower Connect,Automower? Connect allows you control of your Husqvarna robotic lawnmower
com.microdrones.cockpit,mdCockpit,Mission planner and monitoring tool for Microdrones md4-1000/md4-3000 UAVs.
com.ilife.iliferobot_784,SILVERCREST SSRA1,App Features
com.apponfire.android.droneapp,Go Fly Drone Remote Controller,Smart Drone Controller for 40+ Drone Models. Support app for Flying Drone Camera
com.robobuddi.robot,ROBOBUDDI,"Smart Life, Smart Living"
com.wolfe.robotics,Wolf-e Robotics Platform,Control and manage Wolf-e Robotics devices
com.irobotix.redroad,Redroad,You can easily use Redroad to control the vacuum and mop robot.
nl.lvnl.godrone,GoDrone,Where can I fly with my drone
com.irobotix.netbot,NETBOT LS22,NETBOT LS22 APP can control your Robot wherever you are and whenever you need
com.kurumi.robot,Kurumi Robot,It's a mobile-side application that connects robot products.
com.vison.macrochip.ruko.drone.f11,Ruko Pro,An app we can control a quadcopter to fly with a WiFi camera module
com.Xbot.robot,Xbot Home,you are replacing the traditional remote control with an intelligent robot control.
com.aerogcs.aerogcsenterprise.hellodrone,AeroGCS GREEN,Agriculture spraying drone mission planning
com.dji.GSDemo.InspectionSpecialist,DroneMagic,Works with DJI Drones to easily create and automate photo or video flight plans
com.cooingdv.elitedrone,Elite Drone,This APP uses WIFI to transmit images to control drone flight.
com.rippton.zywl.drone,Rippton Drone,Bait Dropping Drone
com.ubtrobot.lawnmower,U Mower,"U Mower, Enjoy Smart Mowing"
com.smartremote.djiflydrone,Fly Go 4: Drone Camera Remote,"Remote controller for drone, UAV, camera. Available for RC, FPV.Camera drone app"
jp.pfrobotics.baku.android,Kachaka,Smart Furniture Platform
com.ihunuo.jtlrobot,Carle,This is an App that controls robots through mobile phones
com.groupeseb.aspirobot,Rowenta Robots,Launch a cleaning session and control your robot from anywhere with your app.
com.kressrobotik.mission,Kress Mission,Your lawn at your fingertips
com.lidar.fjd,FJD Trion Scan,Used to connect and use FJDynamics 3D LIDAR Scanner products
com.vison.macrochip.ruko.drone,RUKO DRONE,An app we can control a quadcopter to fly with a WiFi camera module
com.coredy.robot,Coredy Robot,Coredy Robot. Control your Coredy smart home devices from anywhere
com.vactronic.robot,Vactronic,Smart home
com.gutrendvision.robot,GUTREND VISION,It's a mobile-side application that connects robot products.
com.ldrobot.tyetanew,ETA RAGGIO,ETA Raggio is the official application for robot vacuum cleaner ETA5225.
com.vactidy.robot,Vactidy,Smart home
com.zaco.home.robot,ZACOHome,ZACOHome lets you control your ZACO robots
