title,label,description,realInstalls,score,ratings,reviews,released,lastUpdatedOn,version,released_ym
Proscenic,1,"""The Proscenic App is a mobile phone application that connects Proscenic smart products. You can control the functions of the product and monitor your product in real-time through the application. Here, you can control the product anytime and anywhere, and you can also streamline communication between smart devices. Intercommunication makes the product more portable and smart during use.



Linkage control, easy to use

We want you to experience a smarter and more portable lifestyle. The app is simple to operate and you can quickly add a variety of home appliances while performing linkage operations to interconnect smart devices.



Share your joy with just one-click 

We want to add more fun to your life. With simple one-click sharing, you can share your device with family and friends, manage it remotely, experience convenience, and enjoy the fun of science and technology together.



Connect to the Internet in no time

After connecting to your smart device, you can

(1) Start and pause your robot remotely

(2) View the cleaning map and understand the robot cleaning area

(3) Set the cleaning mode you want to track cleaning tasks



Download now and experience this house cleaning """"beast"""" by Proscenic.""",400564.0,2.4320989,2403.0,57.0,2021-01-30 00:00:00,"Oct 21, 2025",4.1.0,2021-01
HYBRID SERIES,1,"This is a mobile application that use for Mister Robot - HYBRID SERIES product only. Users can use this app instead of traditional remote control to control robot vacuum via wifi connection such as

- Start/Stop Cleaning

- Robot Monitoring

- Recharging

- Water Drop Level Control

- Direction Control

- Time Scheduling

If you have any question please contact us at misterrobotcleaner@gmail.com",7185.0,,,,"Mar 31, 2021",2025-08-30 00:00:00,Varies with device,2021-03
My smart+,1,"""The My smart+ App is a mobile phone application that connects My smart+ smart products. You can control the functions of the product and monitor your product in real-time through the application. Here, you can control the product anytime and anywhere, and you can also streamline communication between smart devices. Intercommunication makes the product more portable and smart during use.





Linkage control, easy to use

We want you to experience a smarter and more portable lifestyle. The app is simple to operate and you can quickly add a variety of home appliances while performing linkage operations to interconnect smart devices.



Share your joy with just one-click 

We want to add more fun to your life. With simple one-click sharing, you can share your device with family and friends, manage it remotely, experience convenience, and enjoy the fun of science and technology together.



Connect to the Internet in no time

After connecting to your smart device, you can

(1) Start and pause your robot remotely

(2) View the cleaning map and understand the robot cleaning area

(3) Set the cleaning mode you want to track cleaning tasks""",6375.0,,,,"Dec 3, 2021",2024-09-02 00:00:00,Varies with device,2021-12
Ultenic,1,"""With the Ultenic App, you can easily connect and control all of Ultenic smart products! 



You can control and monitor all intelligent functions of Ultenic product through the app anytime and even if you are not at home. 

The Ultenic App is configurable on any smartphone.



Connecting your mobile phone to Ultenic intelligent product has never been easier! The Ultenic App is simple to use and quickly configure all your appliances and have them communicate with each other in a smart way. You can live in a smarter lifestyle at your fingertips.



Have fun while your Ultenic app work for you!

Share your device with your family and friends.

You can control your Ultenic device even if you're not at home, even if you're on the other side of the world.



Connect your Ultenic app to your Wi-Fi network in no time!

After connecting to your Ultenic device, you can

(1) Remotely start and pause your device

(2) Monitor the cleaning status and view the cleaning maps

(3) Set the cleaning mode you want to tackle cleaning tasks",239625.0,2.5,1502.0,30.0,"Apr 24, 2020","Oct 20, 2025",4.1.1,2020-04
Roborock,1,"*Feature support varies by product



Cutting-Edge Software and Hardware：

- PreciSense: Precision LIDAR navigation for efficient home cleaning.

- Sensient: A sensor matrix for safer movement around the home.

- OpticEye: Highly accurate vision-based motion control and navigation

- ReactiveAI: Artificial intelligence for recognizing and avoiding common home objects.

- VibraRise: More effective mopping through sonic vibration, with a mop that can be automatically lifted off the floor.



The Roborock app has been designed to give you total control over your Roborock robot, from home layout to cleaning schedules, cleaning strength, and more. Once you've set it up the way you want it, you can leave your robot to work. 



---- Feature Highlights ----



SERIOUSLY SMART MAPPING

After it's first run around your home, your Roborock robot will show you your floorplan and automatically divide your rooms, unlocking a world of customizations.



ADVANCED SCHEDULING

Set multiple schedules from hourly to daily to weekly, hitting different rooms with each one. You can clean the kitchen after breakfast and even the whole house when everyone's gone out.



CUSTOMIZABLE CLEANING

Tailor cleaning to the demands of each room. Crank up suction for the nursery, use more water on tiled kitchens, and lower suction when you need things quiet. The control is yours.



ZONE CLEANING

Draw up to five zones, and clean each zone up to three times, for when you want to tackle more stubborn dirt or just don't need entire rooms cleaned.



NO-GO ZONES

Use up to 10 No-Go Zones and 10 Invisible Walls to avoid thick carpets, keep robots away from delicate art, and more—all without a single hardware add-on.



MULTI-LEVEL MAPPING

Save up to four maps in your home and tailor cleaning to match each floor. Your robot will recognize the floor it's on automatically, so you can simply watch it work.



REAL-TIME VIEWING

Watch your robot move through your home, seeing the exact route it's taken and any obstacles it has avoided along the way.



Feature Compatibility:

- Multi-Level Mapping is available on [TBC] only

- Obstacle avoidance is available on S6 MaxV only

- Room specific suction scheduling is available on [TBC] only

- Room specific mopping is available on S6 MaxV and S5 Max only.



Contact Us

Customer Service Phone: 400-900-1755 (Chinese Mainland)

E-mail: service@roborock.com (Chinese Mainland), support@roborock-eu.com (EU), support@roborock.com (Other Areas)",8389495.0,4.656339,315195.0,2724.0,"May 23, 2019","Dec 25, 2025",4.56.08,2019-05
Kurumi Robot,1,"The Kurumi Robot Vacuum APP is a mobile applicationthat connects to Kurumi robot products. 

Users can replace the traditional remote control with APP, remote control the robot to clean,dock to charge,etc.

Equipment control, support direction control, cleaning preferences settings,etc.

Time Schedule, clean at any time within a week.

Equipment positioning, can view the data of cleaning area and cleaning time.

Support personalized settings of device name, time calibration, deleting equipment,etc.

If you have any questions or suggestions during use, please contact us by email，Mail address:  kurumiindonesia@gmail.com",5882.0,0.0,0.0,0.0,2021-01-08 00:00:00,2025-12-25 00:00:00,Varies with device,2021-01
Xbot Home,1,"The mobile phone app connects Xbot products to the phone with Wi-Fi function.



Using the App, you replace the traditional remote control with an intelligent robot control.



The Application provides registration, initial setup, software update, cleaning control, management and receiving information from the robot vacuum cleaner.



You can adapt the robot to your lifestyle:



- make an individual cleaning schedule;



- mark contaminated and restricted areas;



- customize local cleaning and cleaning zones in specific rooms;



- adjust the cleaning modes;



- Get information about the charge level, cleaning report and error messages.",3223.0,0.0,0.0,0.0,"Nov 16, 2020",2024-11-19 00:00:00,Varies with device,2020-11
Grundig Robot,1,"The Grundig Robot Vacuum APP is a mobile applicationthat connects to Grundig robot products. 

Users can replace the traditional remote control with APP, remote control the robot to clean,dock to charge,etc.

Equipment control, support direction control, cleaning preferences settings,etc.

Time Schedule, clean at any time within a week.

Equipment positioning, can view the data of cleaning area and cleaning time.

Support personalized settings of device name, time calibration, deleting equipment,etc.",30799.0,0.0,0.0,0.0,"Jan 7, 2021",2025-08-25 00:00:00,Varies with device,2021-01
ROBOBUDDI,1,"Smart life, smart living

1. Remote control: control home appliances from anywhere

2. Timer: set timer to perform multiple functions 

3. Device sharing: One tap to share devices among family members

4. Easy connection: easily and quickly connect App to devices",138.0,0.0,0.0,0.0,"Nov 16, 2022",2023-09-22 00:00:00,Varies with device,2022-11
PUDU Link APP,1,全新的普渡机器人管理应用，高效管理普渡机器人，一键呼叫，实时获悉机器状态,6831.0,0.0,0.0,0.0,2022-06-07 00:00:00,2025-12-25 00:00:00,,2022-06
아이닉 스마트 로봇,1,"Conveniently use the Inic robot vacuum cleaner series products with one app.



You can connect and control robot vacuum cleaners quickly and easily using the Iniq smart robot. 



[Main Features]

1. Select various cleaning modes (designated area cleaning function/scheduled cleaning function/side cleaning function, etc.)

2. Various map management and map editing functions (mapping function/map memory function/3D map function)

3. Remote control (real-time monitoring/obstacle identification/automatic charging/AI function)

4. Maintenance (consumable replacement notification/error message)



[Supported products]

Robot vacuum cleaner iX30 AI Ultra



[Usage environment]

There may be restrictions on use depending on some mobile device environments.

Supports Android OS 4.4 and above

Wifi 2.4GHz supported (5GHz not supported)



[Product and A/S related inquiries]

Please call our customer service center at 1800-8515 and we will kindly respond.



The INIQ Smart Robot App is an application designed by “INIQ Co., Ltd.” (hereinafter referred to as “INIQ” or “Company”) for house cleaning robots. Through the Iniq Smart Robot App, you can easily connect your mobile phone with Iniq's cleaning robot to achieve comprehensive intelligent cleaning control.



With the Iniq Smart Robot app, you can enjoy the following convenient features:



[Remote Control]: You can control and set up the cleaning robot at any time via your mobile phone, no matter where you are. Whether you want to start, pause, or stop the cleaning task or adjust the cleaning mode, everything is under your control.



[View status]: Check the current location, operating status, and consumable usage of the cleaning robot in real time. You can track your robot vacuum cleaner's battery level, cleaning progress, and consumables that need to be replaced.



[Quick Actions]: Preset frequently used cleaning tasks and start with one click, so you don't have to repeat settings every time. For example, you can set Quick Cleaning mode for daily light cleaning and Deep Cleaning mode for weekly cleaning.



[Show Map]: You can view the 2D or 3D map generated by the cleaning robot to clearly understand the cleaning route and cleaning area. The map makes it easy to identify areas that have been cleaned and those that still need attention.



[Scheduled Cleaning]: When you set a cleaning schedule, the cleaning robot will automatically start cleaning at the specified time. Whether it's every morning or when you go out, you can keep your home tidy by having the cleaning robot start on time.



[Do not disturb mode]: Set the do not disturb time to prevent the cleaning robot from disturbing you when you are resting or need quiet time. You can set a sleep time at night so that the robot vacuum cleaner does not perform cleaning tasks during that time.



[Map Edit]: Edit the cleaning map generated by the cleaning robot, optimize the cleaning route, and improve cleaning efficiency. You can mark off-limits areas on a map or prioritize cleaning areas to have the robot vacuum according to your needs.



[Device Sharing]: Share device permissions with family and friends and enjoy smart cleaning together. Each user can control the cleaning robot via their mobile phone, share household chores, and collectively keep the house clean.",2677.0,0.0,0.0,0.0,"Jan 15, 2025",2025-11-28 00:00:00,Varies with device,2025-01
