title_target,pkg_name,title_all,description,matched
DJI Home,,,,False
Dreamehome,,,,False
eureka robot,,,,False
SwitchBot,,,,False
ECOVACS HOME,,,,False
SharkClean,,,,False
Le Robot,,,,False
Matic Robots,,,,False
iVacuum Cleaner Robot Control,,,,False
Robot Admin,,,,False
YEEDI,,,,False
obode Life,,,,False
Robot Vacuum App,,,,False
Gausium Mobile,,,,False
Tennant Robotics,,,,False
Nilfisk Robotics,,,,False
LEGEE-688,,,,False
Xrobot App,,,,False
AtBot,,,,False
KOKOBOTS,,,,False
DoniHome,,,,False
Robot iVacuum: Home Cleaning,,,,False
Teendow,,,,False
OKP,,,,False
Connect Robot Vacuum Cleaner,,,,False
ILIFEHOME,,,,False
POWERbot-E,,,,False
EXTRAVIS,,,,False
Tuvacs,,,,False
SAMBA ROBOT,,,,False
Hrobot cleaner,,,,False
ROPVACNIC,,,,False
Neatsvor Home,,,,False
NoesisHome,,,,False
UWANT HOME,,,,False
Conga 8090,,,,False
Mellerware,,,,False
Honor Choice,,,,False
Intelligent Robot Vacuums,,,,False
Romy Robot,,,,False
SENCOR,,,,False
Wimsha Robot,,,,False
BlitzWolf Clean,,,,False
Longto,,,,False
Silverstar Smart,,,,False
ePro Select,,,,False
UDEERAI,,,,False
SmartBot Solar,,,,False
H-MOTION,,,,False
FinluxBot,,,,False
Conga 5090,,,,False
AIRROBO,,,,False
DoniRobot,,,,False
HOBOT LEGEE,,,,False
FieldBots,,,,False
Klauben Cleanbot,,,,False
LionsClean V2,,,,False
Dirt Devil Clean,,,,False
Narwal Freo,,,,False
AIBOT,,,,False
SAMBA ROBOT,,,,False
Robolta,,,,False
TIDY LIVING,,,,False
REDMOND Robot,,,,False
Beko Robot,,,,False
iCLEBO G,,,,False
Jinny20,,,,False
SENCOR Robotics,,,,False
Proscenic Robotic,,,,False
ROB-Connect,,,,False
TOPPERS,,,,False
TATA Future,,,,False
Robotic Vacuums,,,,False
TROUVER,,,,False
HKoenig_Robot,,,,False
WYBOT,,,,False
Aiper,,,,False
ROBO POOL,,,,False
Hy-Clor Robot Cleaners,,,,False
Beatbot,,,,False
MyDolphin Plus,,,,False
MyDolphin,,,,False
POZIE Robot Cleaners,,,,False
DolphinTech Plus,,,,False
WYRobot,,,,False
Pool Robot,,,,False
iGarden Robotics,,,,False
Inopool Latitude,,,,False
SMOROBOT,,,,False
Zetta RC,,,,False
Prowler RC,,,,False
LadyBot,,,,False
Aquabot RC,,,,False
BWT RC,,,,False
Fanttik,,,,False
Aeolus Instant,,,,False
PadBot Admin,,,,False
MassageRobot,,,,False
Moorebot Scout,,,,False
Keenon Robotics,,,,False
CLOi Station,,,,False
Robint,,,,False
CLOi Station for Logistics,,,,False
Fulcrum Robotics,,,,False
Yarbo,,,,False
ISWARD-Robotic Lawn Mower,,,,False
robotic-mower connect,,,,False
TarraBot Pro,,,,False
Sensori Robot Controller,,,,False
Wiper Service,,,,False
Robotic Mower,,,,False
ayi robot,,,,False
Eurogreen,,,,False
TurfPro Connect,,,,False
ROBOT 2 MOW,,,,False
FJD Landscaping,,,,False
RMconnect,,,,False
STIGA.GO,,,,False
G-Force Robot,,,,False
CubCadet XR 2.0,,,,False
Robot Mower,,,,False
NEXMOW 2.0,,,,False
AutoMowing,,,,False
G2 MOW,,,,False
Volta AI,,,,False
Landroid,,,,False
KY FPV,,,,False
Autel Sky,,,,False
Autel Explorer,,,,False
Autel Explorer V2,,,,False
DJI GO,,,,False
One Click Drone,,,,False
Pluto Controller,,,,False
GPS Drone,,,,False
Drones for DJI,,,,False
Skippy Scout,,,,False
SidePilot,,,,False
Potensic,,,,False
MFD GO,,,,False
HS FLY,,,,False
Bwine Drone,,,,False
Geneinno,,,,False
Ophelia FLY,,,,False
HS Sirius,,,,False
HolyStone-FPV,,,,False
PiHOT Go,,,,False
Contixo F35,,,,False
Potensic Eve,,,,False
PotensicPro,,,,False
WiFi UAV,,,,False
HASAKEE Q10,,,,False
4DRC Air,,,,False
YN Fly,,,,False
Youcan Dive,,,,False
Spexi,,,,False
Yanshee,,,,False
WhalesBot,,,,False
CellRobot,,,,False
MiPosaur,,,,False
ClicBot,,,,False
Robosen Flagship Bumblebee,,,,False
Humanpanion,,,,False
AIBOTGO,,,,False
MechDog,,,,False
Lynx Robot,,,,False
AELOS 1S,,,,False
Cozmo Robot,,,,False
Doly Robot,,,,False
SenseRobot Go,,,,False
MIRO,,,,False
CHiP - Your New Best Friend,,,,False
Misty App,,,,False
Artibo Manager,,,,False
Tennibot,,,,False
XORIGIN AI,,,,False
LoLo Go,,,,False
Naio Companion,,,,False
Solinftec Solix,,,,False
Octiva,,,,False
Farmdroid App,,,,False
iRemoteFishing,,,,False
Kilter Remote,,,,False
MonarchUAT,,,,False
NexusMT,,,,False
Hypershell+,,,,False
ZYY_HEXO,,,,False
Booster Robotics,,,,False
MagicDog,,,,False
WEILAN,,,,False
Aelos,,,,False
AimMaster,,,,False
INFFNI ROVER,,,,False
Wonderbit,,,,False
WonderArm,,,,False
WonderPi,,,,False
WonderCom,,,,False
AiMecha,,,,False
WonderAi,,,,False
UR+ AR,,,,False
