title_target,pkg_name,title_all,description,matched
Proscenic,com.proscenic.smart.robot,Proscenic,Smart home,True
HYBRID SERIES,com.MisterRobot.Robot,HYBRID SERIES,Mister Robot C HYBRID SERIES Application,True
My smart+,com.myhome.smart.robot,My smart+,Smart home,True
Ultenic,com.ultenic.robot,Ultenic,Smart home,True
Roborock,com.roborock.smart,Roborock,The App can control Roborock vacuum cleaners from anywhere with rich features.,True
Kurumi Robot,com.kurumi.robot,Kurumi Robot,It's a mobile-side application that connects robot products.,True
Xbot Home,com.Xbot.robot,Xbot Home,you are replacing the traditional remote control with an intelligent robot control.,True
Grundig Robot,com.grundig.robot,Grundig Robot,It's a mobile-side application that connects robot products.,True
ROBOBUDDI,com.robobuddi.robot,ROBOBUDDI,"Smart Life, Smart Living",True
MOVAhome,com.dreame.movahome,MOVAhome,"MOVAhome App is a professional cleaning management tool that developed specifically for MOVA robotic vacuum cleaners. Connect with your MOVA robot through MOVAhome App to remotely control and personalize the management of cleaning spaces and schedules, giving you control of your homes floor cleaning anytime, anywhere. Unlock a variety of advanced features with ease through the MOVAhome App:
Device Information: Monitor your robot in real-time to precisely track its cleaning progress and path, work status, any malfunctions or anomalies, and the lifespan of cleaning consumables.
Remote Control: Connect with the device to remotely control the robot, set cleaning schedules, and adjust various parameters such as water flow and suction power.
Zone Selection & Cleaning Customization: Select and customize cleaning areas through an intuitive map interface, pinpointing the exact locations you wish to clean.
Scheduled Cleaning: Set up timed cleaning appointments, and the robot will start the task at the designated time and autonomously return to its charging dock upon completion.
Home Mapping: Create a personalized home map with custom room names and divided areas, and plan settings like floor material and cleaning sequence to meet the needs of your family.
No-Go Zones: Set no-go zones on your map, ensuring that the robot avoids these areas during cleaning to prevent entry into designated off-limits spaces.
Firmware Upgrades: Update your robot to the latest firmware version with a single click through OTA technology, and be among the first to experience cutting-edge features.
Voice Connection: Register and log into the app to connect with your robot, enabling compatibility with third-party voice assistant platforms for convenient voice control functions.
Contact Us
? Email: aftersales@mova-tech.com
? Website: https://global.mova-tech.com/",True
AllyBot,com.iskyfly.washingrobot,AllyBot,Intelligent cleaning robot management platform,True
robored,com.robored.robot,robored,The robored APP is a mobile application for the robored Robot Vacuum cleaner.,True
Nooie Robot,com.nooie.robot,Nooie Robot,always be there,True
Fakir Robot,com.fakir.robot,Fakir Robot,App for Fakir Robert R1. It helps to you while using the Robert R1.,True
Wero M8 Max,com.wero.robot,Wero M8 Max,He's So Smart,True
ECOVACS PRO,com.ecovacs.biz.tidalwave,ECOVACS PRO,ECOVACS PRO App is a application for connecting to ECOVACS commercial robots,True
Onex Robot,com.onex.robot,Onex Robot,Onex Robot is an application that connects to Onex cleaner robotic products.,True
RoboKit,com.kitfort.robot,RoboKit,Allows you to control Kitfort robots from mobile devices over Wi-Fi,True
RVB SmartBot,com.robot.bsrobot_new,RVB SmartBot,RVB SmartBot is an application that connects to TARA cleaner robotic products.,True
Milagrow Aguabot Robot,com.milagrow.robot,Milagrow Aguabot Robot,Milagrow Aguabot Robot is an application that connects robot with internet.,True
Coredy Robot,com.coredy.robot,Coredy Robot,Coredy Robot. Control your Coredy smart home devices from anywhere,True
ILIFE VAC,com.irobotix.ilife,ILIFE VAC,You can use ILIFE VAC to control the sweeping robot anytime and anywhere.,True
SILVERCREST SSRA1,com.ilife.iliferobot_784,SILVERCREST SSRA1,App Features,True
Rowenta Robots,com.groupeseb.aspirobot,Rowenta Robots,Launch a cleaning session and control your robot from anywhere with your app.,True
Kachaka,jp.pfrobotics.baku.android,Kachaka,Smart Furniture Platform,True
NETBOT LS22,com.irobotix.netbot,NETBOT LS22,NETBOT LS22 APP can control your Robot wherever you are and whenever you need,True
GUTREND VISION,com.gutrendvision.robot,GUTREND VISION,It's a mobile-side application that connects robot products.,True
Redroad,com.irobotix.redroad,Redroad,You can easily use Redroad to control the vacuum and mop robot.,True
EnroSmartXP,com.enro.EnroSmart,EnroSmartXP,EnroSmart Experience,True
Roomba Home,com.irobot.home.prime,Roomba Home,Premium floor cleaning robots,True
ZACO Robot,com.zacorobot_eu,ZACO Robot,"ZACO Robot is an application that connects to ZACO V5x, V85, A8s, A9s.",True
Xiaomi Robot Vacuum X20 Guide,com.xiaomirobotvacuumx20guide.virstzorg,Xiaomi Robot Vacuum X20 Guide,Get started today with xiaomi robot vacuum x20 guide - download our guide app.,True
ETA RAGGIO,com.ldrobot.tyetanew,ETA RAGGIO,ETA Raggio is the official application for robot vacuum cleaner ETA5225.,True
Vactidy,com.vactidy.robot,Vactidy,Smart home,True
ZACOHome,com.zaco.home.robot,ZACOHome,ZACOHome lets you control your ZACO robots,True
Lydsto,com.lydsto.robotvacuum,Lydsto,Robot Cleaner,True
Robot Vacuum Cleaner,com.arcelik.robot,Robot Vacuum Cleaner,A mobile application that connects to a robot vacuum cleaner.,True
Robot Vacuum Cleaner,com.CPZTApps.Robotvacuumcleaner,Robot Vacuum Cleaner,Unique vacuum cleaner robot simulator!,True
INXNI,com.inxni.robot,INXNI,Let go and create the future,True
Verefa Life,com.sz.verefa.sweeprobot,Verefa Life,Verefa Life App is a mobile application that connects to the smart Robot Vacuum.,True
KIRA Robots,com.karcher.kirarobots,KIRA Robots,"Schedule, map, adjust settings, and receive notifications effortlessly.",True
Zoef Robot Smart,zoefrobot.smart,Zoef Robot Smart,Dutch Quality Brand,True
Philips HomeRun Robot App,com.philips.da.philipsrobot,Philips HomeRun Robot App,"Maintain your spaces, your way. Set it up once, enjoy pristine floors and lawns.",True
BHDT VIETNAM ROBOTICS,com.robotics.baohanh,BHDT VIETNAM ROBOTICS,The application allows to look up genuine products sold by Vietnam Robotics,True
HonySmart,com.honiture.robotvaccum,HonySmart,HonySmart APP Remote Control Honiture Robot Vacuum,True
arnicahome,com.arnicahome.robot,arnicahome,It's a mobile-side application that connects robot products.,True
Sveabot,com.fjdynamics.robotcommon,Sveabot,Add and manage smart hardware products produced by Sveabot.,True
Newal Robot,com.newal.newalrobot,Newal Robot,lets you control your Newal robots,True
T10 Robot Vacuum & Mop,com.narwal.robot_gloabl,T10 Robot Vacuum & Mop,The T10 Robot Vacuum & Mop app is designed to make T10 robots easier to use.,True
ILIFE Clean,com.iliferobot.clean,ILIFE Clean,refresh your life,True
NetBot LS23,com.ldrobot.tynetbot,NetBot LS23,Smart Home,True
Milagrow Aguabot Robot,com.milagrow.robot,Milagrow Aguabot Robot,Milagrow Aguabot Robot is an application that connects robot with internet.,True
Xrobot Sweeper,com.inmotion.XrobotSweeper,Xrobot Sweeper,An one-stop management platform for artificial intelligence device.,True
Robotek X2,com.arzum.robotek,Robotek X2,It's a mobile-side application that connects robot products.,True
Robomaxx,com.inmotion.sweeprobot.ldrobot_m.robomaxx,Robomaxx,Robomaxx Robots exclusive Cloud Intelligent Remote Management.,True
ILIFERobot AS,com.ilife.iliferobot_as,ILIFERobot AS,ILIFERobot AS App,True
Mister Robot Air,com.misterrobot.air,Mister Robot Air,Live Differently with Mister Robot,True
Zyle Robotics,com.irobotix.Zyle.v1,Zyle Robotics,Zyle Robotics APP can control your Robot wherever you are and whenever you need,True
U Vacuum,com.ubtrobot.robotvacuum.overseas,U Vacuum,U Vacuum designed specifically for the UBPET V10 robot vacuum.,True
RedkeyRobot,com.irobotix.muchen,RedkeyRobot,RedkeyRobot APP can control your Robot wherever,True
AI-Bot,com.xbot.smart,AI-Bot,AI-Bot app is a platform for you to manage the pool cleaning robot.,True
RCV Home,com.irobotix.rcvhome.a330,RCV Home,RCV Home can control your Robot wherever you are and whenever you need,True
Zoef Robot,com.clean.robotic,Zoef Robot,The Zoef Robot APP is a mobile applicationthat connects to Zoef robot products.,True
Atvel robots,com.atvel.robot,Atvel robots,It's an application that connects robot products.,True
HiRobot,com.haier.hirobot,HiRobot,HiRobot App is the mobile application of Haier's overseas robot products.,True
MAPPING WIFI,com.mapping.wifiX785,MAPPING WIFI,MAPPING WIFI - Mister Robot - HYBRID MAPPING WIFI Application,True
Mister Robot Touch,com.misterrobotcleaner.hmc,Mister Robot Touch,you can control Mister Robot by this App.,True
iRobot Home (Classic),com.irobot.home,iRobot Home (Classic),Control for iRobot products,True
Vactronic,com.vactronic.robot,Vactronic,Smart home,True
GAEMI (GAEMI-0 F),com.robotis.zip7h01Fms,GAEMI (GAEMI-0 F),An easy-to-use management app for checking and controlling robot status.,True
Poolmate Bot,com.chasing.poolrobot,Poolmate Bot,Intelligent and convenient; comprehensive cleaning,True
Robot Sweeper,com.grit.robotsweeper,Robot Sweeper,Smart apps for floor sweepers that customize your needs!,True
Lefant,com.yunshi.robotlife,Lefant,Lefant App is a mobile application to control Lefant Robotic Vacuum Cleaners.,True
ETA Navaggio,com.irobotix.eta,ETA Navaggio,Application for controlling the robotic vacuum cleaner ETA2228 and ETA4228.,True
My MIRAVAC,com.ldrobot.miravac,My MIRAVAC,To enjoy a new app-controlled cleaning experience.,True
Robot Vac,robot.Vac,Robot Vac,Kenmore Smart Robot Vacuum,True
AUTOBOT APP,com.autobot.new.fir,AUTOBOT APP,The APP can control your Robot wherever you are and whenever you need,True
Robotmaker,com.irobotix.thailand,Robotmaker,Robotmaker APP can control your Robot wherever you are and whenever you need,True
Autobot Robotics WiFi,com.autobot.mega,Autobot Robotics WiFi,The MEGA Robot APP is a mobile application that connects to MEGA robot products.,True
ETA AQUILO,com.irobotix.iot.ETA.DM3,ETA AQUILO,The official application for controlling the ETA7243 AQUILO robotic vacuum cleaner,True
Ecovacs Deebot Ozmo 950 Guide,com.ecovacsdeebotozmo950,Ecovacs Deebot Ozmo 950 Guide,Learn about Ecovacs Deebot Ozmo 950 Robot Vacuum Cleaner,True
Concept Robot,com.ldrobot.tyw2concept,Concept Robot,Ovldnte robotick vysava?e Concept s laserovou navigac,True
SNEG,com.misterrobotcleaner.sneg,SNEG,It can be used to control SNEG robots.,True
Unlock Seauto Robot,com.itonsoft.unlockseauto,Unlock Seauto Robot,"Unlock Seauto Robot APP is an APP for unlocking CRAB, switching modes",True
Autobot+,com.autobotplus.com,Autobot+,"Smart Home , Smart device",True
RVC connect,com.irobotix.wilfa,RVC connect,Designed to give you full control of your robot vacuum cleaner.,True
iCLEBO O5,com.yujinrobot.iclebo,iCLEBO O5,Cleaning robot app for remote control,True
AUTOBOT ULTRA,com.zbeetles.autobot2,AUTOBOT ULTRA,cleaning partner creator of home aesthetics,True
icotech,com.irobotix.yosomi,icotech,Vacuum Cleaner,True
Commodore,com.irobotix.commodore,Commodore,With the Commodore app you can control your robot vacuum cleaner from anywhere.,True
CenoBots,com.cenobots.app,CenoBots,The APP of the CenoBots cleaning robot.,True
Bluebot Robotics,com.bluebot.blbt,Bluebot Robotics,It's a mobile-side application that connects robot products.,True
Guide for Mi Robot Vacuum Mop,com.guideformirobotvacuummop.companyconsole1.guide.mi.robot.vacuum.mop,Guide for Mi Robot Vacuum Mop,"Guide for Mi Robot Vacuum Mop , know more about Mi Robot Vacuum Mop with guide",True
iHome Clean,com.ihome.robot,iHome Clean,The iHome Clean App gives you full control over your iHome AUTOVAC.,True
