title_target,pkg_name,title_all,description,matched
dreame APP,,,,False
PUDU Link APP,,,,False
科沃斯机器人APP,,,,False
아이닉 스마트 로봇,,,,False
Gausium APP,,,,False
MyNeato,,,,False
iRobot Home,,,,False
云鲸智能,,,,False
TESLA RoboStar,,,,False
懒猫同学,,,,False
아이닉,,,,False
원더스 다이나킹 R9,,,,False
MEDION® Robots,,,,False
원더스 다이나킹 R6,,,,False
씽크에어 로봇청소기,,,,False
Vbot 智慧管家,,,,False
Kärcher Home Robots,,,,False
DONI HOME APP,,,,False
에브리봇 3i,,,,False
CLIEN-클리엔,,,,False
원더스 다이나킹 R7,,,,False
Robot Vacuum for iRobot Roomba,,,,False
에브리봇 Q5,,,,False
Robot vacuum cleaner - prank,,,,False
Neabot,,,,False
coredy robot Guide,,,,False
GSMART ROBOT,,,,False
Kärcher Home Robots,,,,False
INXNI HOME,,,,False
惠而浦机器人,,,,False
睿联小匠,,,,False
bibrobotics,,,,False
360Robot,,,,False
eufy Clean,,,,False
智能家居机器人,,,,False
格兰仕扫地机器人,,,,False
RobZone,,,,False
Müben Home APP,,,,False
아이클레보 G7 Plus,,,,False
Lauben Robot Vacuum,,,,False
SS Robot,,,,False
Makita Robotic Cleaner DRC300,,,,False
Boolean cloud,,,,False
国美小洁,,,,False
3i,,,,False
邦果智能,,,,False
TATA Home,,,,False
에브리봇 홈,,,,False
에브리봇 Q9,,,,False
AICLE-에이클,,,,False
SENCOR CLEAN,,,,False
Sweeper & Power,,,,False
아이닉 스마트 로봇,,,,False
AQUACLEAN,,,,False
SMOROBOT app,,,,False
Prowler 930 – Kreepy Krauly,,,,False
大头阿亮客户端 ,,,,False
小丽App,,,,False
GAEMI (일개미),,,,False
"Pocket DONI
掌上杜尼APP",,,,False
Home-I MV,,,,False
YOGO楼大大,,,,False
攀朗机器人,,,,False
temi app,,,,False
로보이츠 (ROBOEATS),,,,False
robobuddy,,,,False
Stiga Autoclip robots,,,,False
novabot,,,,False
R HOME,,,,False
robocore,,,,False
Kärcher Outdoor Robots,,,,False
Eurogreen connect,,,,False
Wolf Garten Loopo 2.0,,,,False
McCulloch ROB,,,,False
DJI GO 4,,,,False
skydio,,,,False
DroneControl,,,,False
Dazz Drones,,,,False
Botlink Capture Drone App,,,,False
HS GPS,,,,False
Ophelia GO,,,,False
nan,,,,False
HS GPS V1、V4、V5,,,,False
X DRONE PRO,,,,False
Oceaneye,,,,False
小米无人机,,,,False
大疆农服,,,,False
KEIRO™,,,,False
蔚蓝机器狗,,,,False
WEILAN dev,,,,False
Vector Robot,,,,False
Raccoon - 라쿤 조이스틱,,,,False
小丹玩转基地,,,,False
 Fuzozo芙崽,,,,False
Marbel Robots,,,,False
EEVE,,,,False
VandiPlay(반디플레이),,,,False
WingspanAI,,,,False
myo-plus,,,,False
BR 仿生手,,,,False
轻凌,,,,False
VIGX,,,,False
ConchinAssist,,,,False
nan,,,,False
connectgrip. by ottobock.,,,,False
Unitree Explore,,,,False
Unitree Go1 GO2 ,,,,False
A1/AlienGo,,,,False
AgileX LIMO,,,,False
绝影lite3 APP,,,,False
绝影lite2 APP,,,,False
AgiBot GO APP,,,,False
MagicBot,,,,False
cyberdog APP,,,,False
有鹿机器人,,,,False
CyberDog2,,,,False
Kiwibot,,,,False
BT Robot Controller,,,,False
Dobot CRStudio,,,,False
WonderNex,,,,False
