title_target,pkg_name,title_all,description,matched
dreame APP,,,,False
PUDU Link APP,,,,False
科沃斯机器人APP,,,,False
아이닉 스마트 로봇,,,,False
Gausium APP,,,,False
MyNeato,,,,False
iRobot Home,,,,False
云鲸智能,,,,False
TESLA RoboStar,,,,False
懒猫同学,,,,False
DJI Home,,,,False
아이닉,,,,False
원더스 다이나킹 R9,,,,False
MEDION® Robots,,,,False
원더스 다이나킹 R6,,,,False
씽크에어 로봇청소기,,,,False
Vbot 智慧管家,,,,False
Kärcher Home Robots,,,,False
DONI HOME APP,,,,False
에브리봇 3i,,,,False
CLIEN-클리엔,,,,False
원더스 다이나킹 R7,,,,False
Dreamehome,,,,False
Robot Vacuum for iRobot Roomba,,,,False
에브리봇 Q5,,,,False
eureka robot,,,,False
Robot vacuum cleaner - prank,,,,False
SwitchBot,,,,False
ECOVACS HOME,,,,False
SharkClean,,,,False
Le Robot,,,,False
Matic Robots,,,,False
iVacuum Cleaner Robot Control,,,,False
Robot Admin,,,,False
YEEDI,,,,False
obode Life,,,,False
Robot Vacuum App,,,,False
Gausium Mobile,,,,False
Tennant Robotics,,,,False
Nilfisk Robotics,,,,False
LEGEE-688,,,,False
Neabot,,,,False
coredy robot Guide,,,,False
Xrobot App,,,,False
AtBot,,,,False
KOKOBOTS,,,,False
DoniHome,,,,False
Robot iVacuum: Home Cleaning,,,,False
Teendow,,,,False
OKP,,,,False
GSMART ROBOT,,,,False
Connect Robot Vacuum Cleaner,,,,False
ILIFEHOME,,,,False
POWERbot-E,,,,False
EXTRAVIS,,,,False
Tuvacs,,,,False
SAMBA ROBOT,,,,False
Hrobot cleaner,,,,False
ROPVACNIC,,,,False
Neatsvor Home,,,,False
Kärcher Home Robots,,,,False
NoesisHome,,,,False
UWANT HOME,,,,False
INXNI HOME,,,,False
Conga 8090,,,,False
Mellerware,,,,False
Honor Choice,,,,False
Intelligent Robot Vacuums,,,,False
Romy Robot,,,,False
SENCOR,,,,False
惠而浦机器人,,,,False
Wimsha Robot,,,,False
BlitzWolf Clean,,,,False
Longto,,,,False
Silverstar Smart,,,,False
ePro Select,,,,False
UDEERAI,,,,False
SmartBot Solar,,,,False
H-MOTION,,,,False
FinluxBot,,,,False
Conga 5090,,,,False
AIRROBO,,,,False
DoniRobot,,,,False
睿联小匠,,,,False
bibrobotics,,,,False
HOBOT LEGEE,,,,False
360Robot,,,,False
FieldBots,,,,False
Klauben Cleanbot,,,,False
LionsClean V2,,,,False
Dirt Devil Clean,,,,False
Narwal Freo,,,,False
AIBOT,,,,False
SAMBA ROBOT,,,,False
Robolta,,,,False
eufy Clean,,,,False
智能家居机器人,,,,False
格兰仕扫地机器人,,,,False
TIDY LIVING,,,,False
REDMOND Robot,,,,False
RobZone,,,,False
Müben Home APP,,,,False
Beko Robot,,,,False
아이클레보 G7 Plus,,,,False
iCLEBO G,,,,False
Lauben Robot Vacuum,,,,False
SS Robot,,,,False
Jinny20,,,,False
SENCOR Robotics,,,,False
Makita Robotic Cleaner DRC300,,,,False
Proscenic Robotic,,,,False
Boolean cloud,,,,False
ROB-Connect,,,,False
TOPPERS,,,,False
国美小洁,,,,False
3i,,,,False
TATA Future,,,,False
邦果智能,,,,False
Robotic Vacuums,,,,False
TATA Home,,,,False
TROUVER,,,,False
HKoenig_Robot,,,,False
에브리봇 홈,,,,False
에브리봇 Q9,,,,False
AICLE-에이클,,,,False
SENCOR CLEAN,,,,False
Sweeper & Power,,,,False
아이닉 스마트 로봇,,,,False
WYBOT,,,,False
Aiper,,,,False
ROBO POOL,,,,False
Hy-Clor Robot Cleaners,,,,False
Beatbot,,,,False
MyDolphin Plus,,,,False
MyDolphin,,,,False
POZIE Robot Cleaners,,,,False
DolphinTech Plus,,,,False
WYRobot,,,,False
Pool Robot,,,,False
iGarden Robotics,,,,False
Inopool Latitude,,,,False
SMOROBOT,,,,False
AQUACLEAN,,,,False
SMOROBOT app,,,,False
Zetta RC,,,,False
Prowler 930 – Kreepy Krauly,,,,False
Prowler RC,,,,False
LadyBot,,,,False
Aquabot RC,,,,False
BWT RC,,,,False
Fanttik,,,,False
大头阿亮客户端 ,,,,False
小丽App,,,,False
GAEMI (일개미),,,,False
Aeolus Instant,,,,False
PadBot Admin,,,,False
"Pocket DONI
掌上杜尼APP",,,,False
MassageRobot,,,,False
Moorebot Scout,,,,False
Home-I MV,,,,False
YOGO楼大大,,,,False
Keenon Robotics,,,,False
攀朗机器人,,,,False
temi app,,,,False
로보이츠 (ROBOEATS),,,,False
CLOi Station,,,,False
Robint,,,,False
CLOi Station for Logistics,,,,False
robobuddy,,,,False
Stiga Autoclip robots,,,,False
novabot,,,,False
R HOME,,,,False
robocore,,,,False
Kärcher Outdoor Robots,,,,False
Fulcrum Robotics,,,,False
Yarbo,,,,False
ISWARD-Robotic Lawn Mower,,,,False
robotic-mower connect,,,,False
TarraBot Pro,,,,False
Sensori Robot Controller,,,,False
Wiper Service,,,,False
Robotic Mower,,,,False
ayi robot,,,,False
